user_id,name,email,signup_date
u0_000,Veda,veda0@mail.com,2026-04-14
u0_001,,krish1@example.com,2026-07-11
u0_002,Harsha,harsha2@example.com,2026-04-17
u0_003,Mithilesh,mithilesh3@example.com,2026-09-16
u0_004,Mithilesh,mithilesh4@company.co,2026-04-24
u0_005,Veda,veda5@example.com,2026-03-23
u0_006,Navadeep,navadeep6@test.org,2026-03-16
u0_007,,navadeep7@example.com,2026-02-22
u0_008,Krish,krish8@test.org,2026-06-18
u0_009,Harsha,harsha9@company.co,2026-09-13
u0_010,Jagadeesh,jagadeesh10@example.com,2026-09-19
u0_011,Navadeep,navadeep11@mail.com,2026-02-11
u0_012,Ramana,ramana12@test.org,2026-02-17
u0_013,Krish,krish13@company.co,2026-05-24
u0_014,Navadeep,navadeep14@mail.com,2026-06-21
u0_015,Ramana,ramana15@test.org,2026-02-15
u0_016,Mithilesh,mithilesh16@mail.com,2026-03-24
u0_017,Jagadeesh,jagadeesh17@test.org,2026-09-17
u0_018,Navadeep,navadeep18@example.com,2026-04-11
u0_019,Navadeep,navadeep19@company.co,2026-05-12
u0_020,Ramana,ramana20@test.org,2026-04-25
u0_021,Jagadeesh,jagadeesh21@company.co,2026-03-18
u0_022,Rishikesh,rishikesh22@mail.com,2026-09-27
u0_023,Veda,veda23@company.co,2026-07-21
u0_024,Ramana,ramana24@mail.com,2026-09-25
u0_025,Krish,krish25@example.com,2026-02-14
u0_026,Rishikesh,rishikesh26@company.co,2026-02-22
u0_027,Jagadeesh,jagadeesh27@company.co,2026-09-18
u0_028,Mithilesh,mithilesh28@example.com,2026-02-27
u0_029,Veda,veda29@test.org,2026-02-19
u0_030,Jagadeesh,jagadeesh30@mail.com,2026-08-10
u0_031,Veda,veda31@mail.com,2026-09-13
u0_032,Veda,veda32@mail.com,2026-03-21
u0_033,Rishikesh,rishikesh33@example.com,2026-06-25
u0_034,Harsha,harsha34@example.com,2026-06-19
u0_035,Ramana,ramana35@example.com,2026-04-28
u0_036,Krish,krish36@example.com,2026-08-12
u0_037,Mithilesh,mithilesh37@mail.com,2026-03-25
u0_038,Mithilesh,mithilesh38@mail.com,2026-05-26
u0_039,Jagadeesh,jagadeesh39@mail.com,2026-09-16
u0_040,Veda,veda40company.co,2026-06-24
u0_041,Mithilesh,mithilesh41@company.co,2026-02-17
u0_042,Ramana,ramana42@example.com,2026-06-10
u0_043,Mithilesh,mithilesh43@mail.com,2026-04-10
u0_044,Krish,krish44@example.com,2026-04-12
u0_045,Harsha,harsha45@test.org,2026-02-26
u0_046,Ramana,ramana46@test.org,2026-08-16
u0_047,Mithilesh,mithilesh47@mail.com,2026-08-17
u0_048,Sidhartha,sidhartha48@company.co,2026-04-13
u0_049,Krish,krish49@company.co,2026-06-23
